id,h-index Microsoft
1,21
10,53
100,18
1000,39
1001,4
1002,28
1003,10
1004,33
1005,19
1006,12
1007,6
1008,10
1009,29
101,18
1010,10
1011,41
1012,27
1014,23
1015,13
1016,11
1017,15
1018,60
1019,59
102,44
1020,69
1021,6
1022,0
1023,17
1025,3
1026,18
1027,11
1028,55
1029,3
103,14
1030,27
1031,24
1032,21
1033,0
1034,7
1035,55
1036,38
1037,65
1038,27
1039,53
104,20
1040,4
1041,32
1042,13
1044,28
1045,3
1046,32
1047,Not in Microsoft Academic
1048,9
1049,10
105,3
1050,14
1051,15
1052,2
1053,16
1054,10
1055,15
1056,33
1057,42
1058,5
1059,31
106,52
1060,67
1061,8
1063,36
1064,62
1066,19
1067,19
1068,1
1069,8
107,46
1070,21
1071,13
1072,34
1073,17
1074,34
1075,27
1076,36
1077,41
1078,57
1079,39
108,33
1080,34
1081,8
1082,103
1083,27
1085,9
1086,30
1087,15
1088,42
1089,0
109,9
1090,8
1091,46
1094,18
1095,27
1096,12
1098,23
1099,12
11,61
110,11
1100,26
1101,23
1102,0
1103,39
1104,100
1105,4
1106,1
1107,2
1108,0
1109,0
111,7
1112,18
1113,11
1114,14
1115,46
1116,24
1117,15
1118,23
1119,1
112,18
1120,28
1122,51
1123,6
1124,4
1125,11
1126,28
1128,132
1129,8
113,9
1130,22
1131,16
1132,6
1133,32
1134,10
1135,6
1136,18
1137,30
1138,28
1139,8
114,10
1140,3
1141,19
1142,14
1143,43
1144,48
1145,17
1146,31
1147,25
1148,41
1149,27
115,17
1150,11
1151,23
1152,73
1153,99
1154,33
1155,0
1158,15
1159,9
116,7
1160,41
1161,60
1162,53
1163,45
1164,25
1165,5
1166,19
1167,81
1168,18
1169,9
117,40
1170,27
1171,48
1172,1
1173,94
1174,27
1175,36
1176,5
1177,50
1178,30
1179,28
118,70
1180,11
1181,46
1182,25
1183,75
1184,17
1185,27
1186,33
1187,59
1188,59
1189,30
119,14
1190,4
1191,59
1192,13
1193,16
1194,0
1195,11
1196,32
1197,12
1198,28
1199,12
12,15
120,26
1200,29
1201,41
1202,72
1203,35
1204,1
1205,30
1206,31
1207,8
1208,12
1209,5
121,106
1210,0
1211,0
1212,27
1213,42
1214,10
1215,40
1216,4
1217,3
1218,6
1219,13
122,88
1220,0
1221,52
1222,15
1223,27
1224,0
1225,0
1226,14
1227,28
1228,41
1229,0
123,1
1230,1
1231,65
1232,23
1233,47
1234,9
1235,44
1236,8
1237,24
1238,17
1239,7
124,20
1240,29
1241,2
1242,64
1243,58
1244,17
1245,2
1246,30
1247,42
1248,10
1249,2
125,50
1250,12
1251,44
1252,15
1253,53
1254,38
1255,4
1256,9
1257,1
1258,25
1259,29
126,12
1260,6
1261,29
1262,19
1263,14
1264,0
1265,24
1266,68
1267,6
1268,8
1269,16
127,7
1270,9
1271,33
1272,5
1273,26
1274,3
1275,23
1276,21
1277,Not in Microsoft Academic
1278,58
1279,6
128,40
1280,45
1281,69
1282,3
1283,27
1284,6
1285,20
1286,24
1287,12
1288,39
1289,33
129,3
1290,Not in Microsoft Academic
1291,Not in Microsoft Academic
1292,35
1293,14
1294,3
1295,19
1296,21
1297,16
1298,40
1299,6
13,30
130,10
1300,3
1301,33
1302,38
1303,16
1304,4
1305,3
1306,50
1307,6
1308,30
1309,9
131,22
1310,63
1311,47
1312,106
1313,55
1314,7
1315,10
1316,30
1317,Not in Microsoft Academic
1318,Not in Microsoft Academic
1319,Not in Microsoft Academic
132,Not in Microsoft Academic
1320,28
1321,22
1322,8
1323,46
1324,12
1325,1
1326,34
1327,12
1328,0
1329,13
133,0
1330,5
1331,29
1332,66
1333,17
1334,1
1335,61
1336,32
1337,74
1338,12
1339,83
134,41
1340,0
1341,28
1342,12
1343,20
1344,2
1345,29
1346,34
1347,0
1348,4
1349,0
135,29
1350,28
1351,36
1352,33
1353,3
1354,0
1355,113
1356,0
1357,39
1358,5
1359,31
136,0
1360,6
1361,28
1362,0
1363,5
1364,7
1365,11
1366,12
1367,23
1368,21
1369,0
137,0
1370,51
1371,2
1372,24
1373,106
1374,2
1375,0
1376,93
1377,14
1378,61
1379,4
138,0
1380,22
1381,12
1382,3
1383,1
1384,6
1385,14
1386,55
1387,21
1388,114
1389,26
139,30
1390,54
1391,47
1392,0
1393,0
1394,32
1395,11
1396,9
1397,16
1398,9
1399,15
14,16
140,36
1400,10
1401,12
1402,11
1403,29
1404,22
1405,29
1406,0
1407,9
1408,39
1409,11
141,30
1410,78
1411,34
1412,6
1413,48
1414,2
1415,37
1416,9
1417,15
1418,7
1419,17
142,19
1420,15
1421,33
1422,0
1423,1
1424,7
1425,13
1426,13
1427,50
1428,27
1429,9
143,88
1430,24
1431,21
1432,45
1433,1
1434,2
1435,6
1436,12
1437,35
1438,38
1439,9
144,41
1440,20
1441,75
1442,4
1443,39
1444,7
1445,7
1446,40
1447,31
1448,16
1449,91
145,6
1450,38
1451,66
1452,1
1453,29
1454,10
1455,16
1456,42
1457,7
1458,24
1459,20
146,30
1460,24
1461,26
1462,0
1463,4
1464,26
1465,9
1466,15
1467,29
1468,5
1469,34
147,30
1470,18
1471,92
1472,0
1473,0
1474,23
1475,9
1476,59
1477,14
1478,7
1479,2
148,50
1480,29
1481,23
1482,24
1483,63
1484,24
1485,6
1486,18
1487,28
1488,8
1489,0
149,21
1490,29
1491,36
1492,0
1493,45
1494,20
1495,24
1496,27
1497,13
1498,30
1499,38
15,4
150,90
1500,0
1501,52
1502,13
1503,73
1504,45
1505,80
1506,0
1507,41
1508,14
1509,17
1510,14
1511,86
1512,14
1513,9
1514,2
1515,20
1516,45
1517,2
1518,0
1519,45
152,16
1520,27
1521,11
1522,64
1523,56
1524,11
1525,17
1526,13
1527,9
1528,8
1529,0
153,19
1530,2
1531,55
1532,25
1533,28
1534,59
1535,4
1536,2
1537,1
1538,109
1539,26
154,14
1540,32
1541,2
1542,22
1543,29
1544,52
1545,13
1546,1
1547,97
1548,53
1549,14
155,39
1550,34
1551,11
1552,3
1553,2
1554,44
1555,52
1556,9
1557,12
1558,22
1559,29
156,53
1560,11
1561,18
1562,30
1563,25
1564,10
1565,49
1566,9
1567,9
1568,26
1569,7
157,5
1570,37
1571,27
1572,20
1573,27
1574,24
1575,46
1576,2
1577,11
1578,22
1579,5
158,17
1580,2
1581,25
1582,43
1583,43
1584,29
1585,4
1586,23
1587,30
1588,0
1589,22
159,32
1590,29
1591,27
1592,15
1593,21
1594,0
1595,0
1596,20
1597,61
1598,32
1599,3
16,32
160,18
1600,9
1601,0
1602,33
1603,54
1604,8
1605,52
1606,30
1607,35
1608,8
1609,17
161,5
1610,2
1611,14
1612,43
1613,7
1614,10
1615,18
1616,37
1617,20
1618,69
1619,6
162,13
1620,39
1621,0
1622,18
1623,13
1624,7
1625,9
1626,45
1627,62
1628,46
1629,58
163,1
1630,80
1631,13
1632,22
1633,0
1634,13
1635,6
1636,32
1637,6
1638,9
1639,19
164,49
1640,72
1641,10
1642,15
1643,26
1644,30
1645,29
1646,50
1647,12
1648,51
1649,4
165,1
1650,15
1651,9
1652,25
1653,35
1654,23
1655,68
1656,14
1657,12
1658,0
1659,12
166,40
1660,55
1661,0
1662,4
1663,35
1664,8
1665,33
1666,32
1667,20
1668,19
1669,4
167,15
1670,30
1671,10
1672,89
1673,9
1674,23
1675,26
1676,5
1677,22
1678,0
1679,0
168,79
1680,0
1681,44
1682,5
1683,0
1684,37
1685,3
1686,4
1687,0
1688,0
1689,95
169,18
1690,52
1691,11
1692,19
1693,1
1694,78
1695,4
1696,7
1697,52
1698,29
1699,4
17,34
170,36
1700,21
1701,58
1702,48
1703,33
1704,9
1705,6
1706,23
1707,48
1708,8
1709,4
171,32
1710,31
1711,151
1712,139
1713,17
1714,76
1715,3
1716,8
1717,31
1718,4
1719,4
172,31
1720,21
1721,45
1722,0
1723,13
1724,5
1725,17
1726,15
1727,24
1728,89
1729,44
173,24
1730,109
1731,10
1732,35
1733,28
1734,18
1735,1
1736,21
1737,0
1738,14
1739,18
174,44
1740,4
1741,33
1742,37
1743,29
1744,22
1745,6
1746,13
1747,28
1748,21
1749,12
175,9
1750,33
1751,35
1752,0
1753,30
1754,6
1755,9
1756,54
1757,17
1758,9
1759,23
176,40
1760,6
1761,61
1762,16
1763,1
1764,13
1765,37
1766,36
1767,20
1768,34
1769,3
177,42
1770,26
1771,13
1772,29
1773,13
1774,1
1775,0
1776,56
1777,0
1778,26
1779,18
178,85
1780,106
1781,11
1782,2
1783,29
1784,4
1785,24
1786,15
1787,14
1788,40
1789,15
179,0
1790,33
1791,67
1792,36
1793,8
1794,56
1795,15
1796,29
1797,9
1798,15
1799,17
18,31
180,19
1800,16
1801,33
1802,86
1803,1
1804,0
1805,7
1806,53
1807,11
1808,40
1809,11
181,16
1810,20
1811,9
1812,13
1813,35
1814,94
1815,69
1816,34
1817,25
1818,32
1819,19
182,52
1820,61
1821,55
1822,36
1823,9
1824,14
1825,27
1826,10
1827,11
1828,60
1829,7
183,35
1830,1
1831,17
1832,43
1833,31
1834,28
1835,27
1836,49
1837,40
1838,16
1839,15
184,32
1840,15
1841,27
1842,1
1843,1
1844,36
1845,27
1846,10
1847,14
1848,8
1849,0
1850,7
1851,5
1852,6
1853,90
1854,20
1855,49
1856,30
1857,29
1858,13
1859,29
186,22
1860,30
1861,16
1862,20
1863,18
1864,6
1865,18
1866,36
1867,38
1868,21
1869,23
1870,46
1871,39
1872,47
1873,0
1874,11
1875,5
1876,14
1877,0
1878,51
1879,9
188,6
1880,47
1881,21
1882,8
1883,4
1884,24
1885,38
1886,52
1887,17
1888,6
1889,56
189,12
1890,33
1891,17
1892,10
1893,9
1894,20
1895,14
1896,13
1897,21
1898,19
1899,12
19,7
190,52
1900,1
1901,108
1902,15
1903,55
1904,35
1905,Not in Microsoft Academic
1906,2
1907,2
1908,0
1909,91
191,39
1910,14
1911,18
1912,58
1913,7
1914,9
1915,2
1916,13
1917,126
1918,14
1919,0
192,5
1920,57
1921,4
1922,23
1923,26
1924,18
1925,37
1926,58
1927,25
1928,10
1929,12
1930,36
1931,65
1932,135
1933,29
1934,31
1935,32
1936,36
1937,18
1938,3
1939,24
1940,32
1941,10
1942,9
1943,32
1944,78
1945,7
1946,58
1947,59
1948,10
1949,13
195,2
1950,142
1951,5
1952,59
1953,35
1954,39
1955,18
1956,8
1957,7
1958,11
1959,16
196,9
1960,5
1961,11
1962,45
1963,7
1964,28
1965,0
1966,26
1967,18
1968,33
1969,39
197,4
1970,6
1971,9
1972,44
1973,46
1974,0
1975,42
1976,13
1977,21
1978,25
1979,16
198,7
1980,9
1981,4
1982,43
1983,22
1984,9
1985,42
1986,1
1987,66
1988,4
1989,31
199,44
1990,0
1991,6
1992,20
1993,26
1994,25
1995,12
1996,124
1997,47
1998,35
1999,11
2,44
20,16
200,65
2000,18
2001,33
2002,2
2003,20
2004,14
2005,12
2006,0
2007,28
2008,58
2009,10
201,4
2010,32
2011,21
2012,21
2013,6
2014,0
2015,9
2016,1
2017,3
2018,13
2019,32
202,42
2020,8
2021,48
2022,13
2023,24
2024,0
2025,12
2026,51
2027,26
2028,22
2029,0
203,66
2030,16
2031,6
2032,30
2033,42
2034,52
2035,45
2036,0
2037,74
2038,4
2039,24
204,72
2040,51
2041,26
2042,0
2043,7
2044,56
2045,28
2046,63
2047,45
2048,38
2049,38
205,62
2050,0
2051,0
2052,0
2053,0
2054,6
2055,30
2056,27
2057,73
2058,19
2059,17
206,69
2060,9
2061,8
2062,0
2063,9
2064,36
2065,0
2066,23
2067,50
2068,53
2069,7
207,63
2070,15
2071,42
2072,11
2073,8
2074,4
2075,20
2076,36
2077,48
2078,22
2079,14
208,23
2080,18
2081,29
2082,45
2083,46
2084,24
2085,8
2086,9
2087,3
2088,0
2089,7
209,15
2090,33
2091,65
2092,16
2093,37
2094,48
2095,89
2096,15
2097,19
2098,13
2099,99
21,59
210,21
2100,28
2101,25
2102,2
2103,32
2104,40
2105,54
2106,7
2107,1
2108,18
2109,6
211,12
2110,0
2111,0
2112,20
2113,15
2114,19
2115,13
2116,29
2117,22
2118,108
2119,116
212,43
2120,34
2121,26
2122,45
2123,26
2124,14
2125,76
2126,28
2127,18
2128,2
2129,1
213,26
2130,5
2131,18
2132,85
2133,78
2134,13
2135,19
2136,4
2137,45
2138,33
2139,46
214,7
2140,14
2141,28
2142,29
2143,38
2144,0
2145,0
2146,117
2147,26
2148,40
2149,155
2150,41
2151,5
2152,23
2153,7
2154,14
2155,25
2156,84
2157,91
2158,1
2159,22
216,37
2160,36
2161,0
2162,10
2163,20
2164,1
2165,11
2166,32
2167,26
2168,30
2169,35
217,21
2171,10
2172,48
2173,49
2174,28
2175,53
2176,45
2177,42
2178,21
2179,15
218,96
2180,18
2181,33
2182,45
2183,22
2184,82
2185,39
2186,37
2187,42
2188,4
2189,55
219,6
2190,23
2191,31
2192,29
2193,23
2194,0
2195,27
2196,9
2197,0
2198,49
2199,25
22,8
220,84
2200,89
2201,59
2202,38
2203,18
2204,39
2205,34
2206,50
2207,51
2208,11
2209,19
221,34
2210,7
2211,10
2212,46
2213,35
2214,42
2215,34
2216,60
2217,17
2218,36
2219,12
222,16
2220,31
2221,13
2222,20
2223,59
2224,Not in Microsoft Academic
2225,Not in Microsoft Academic
2226,5
2227,11
2228,Not in Microsoft Academic
2229,53
2230,83
2231,69
2232,13
2233,62
2234,32
2235,19
2236,20
2237,60
2238,56
2239,24
224,1
2240,31
2241,36
2242,13
2243,0
2244,21
2245,114
2246,80
2247,4
2248,145
2249,8
225,18
2250,15
2251,24
2252,17
2253,35
2254,13
2255,93
2256,Not in Microsoft Academic
2257,24
2258,56
2259,20
226,9
2260,19
2261,21
2262,32
2263,129
2264,14
2265,2
2266,16
2267,130
2268,186
2269,0
227,3
2270,18
2271,20
2272,40
2273,41
2274,9
2275,111
2276,68
2277,0
2278,9
2279,18
228,0
2280,20
2281,21
2282,20
2283,2
2284,7
2285,3
2286,20
2287,12
2288,6
2289,42
229,43
2290,48
2291,14
2292,15
2293,24
2294,88
2295,55
2296,16
2297,22
2298,15
2299,27
23,41
230,64
2300,57
2301,39
2302,12
2303,45
2304,35
2305,0
2306,13
2307,35
2308,36
2309,10
231,30
2310,20
2311,15
2312,54
2313,14
2314,3
2315,35
2316,29
2317,18
2318,42
2319,46
232,16
2320,19
2321,59
2322,20
2324,69
2325,19
2326,29
2327,51
2328,51
2329,52
233,2
2330,50
2331,0
2332,24
2333,20
2334,0
2335,71
2336,61
2337,75
2338,36
2339,1
234,30
2340,50
2341,52
2342,43
2343,15
2344,51
2345,17
2346,0
2347,57
2348,40
2349,28
235,2
2350,13
2351,133
2352,76
2353,159
2354,16
2355,6
2356,68
2357,51
2358,63
2359,38
236,10
2360,18
2361,10
2362,0
2363,16
2364,40
2365,12
2366,23
2367,38
2368,42
2369,1
237,3
2370,16
2371,13
2372,16
2373,7
2374,1
2375,79
2376,12
2377,33
2378,24
2379,1
238,57
2380,12
2381,23
2382,20
2383,65
2384,44
2385,30
2386,7
2387,18
2388,10
2389,6
239,9
2390,22
2391,38
2392,7
2393,7
2394,6
2395,24
2396,88
2397,8
2398,36
2399,5
24,50
240,17
2400,65
2401,34
2402,36
2403,0
2404,43
2405,23
2406,27
2407,13
2408,15
2409,8
241,13
2410,38
2411,0
2412,26
2413,8
2414,1
2415,5
2416,60
2417,15
2418,26
2419,0
242,8
2420,11
2422,11
2423,10
2424,14
2425,17
2426,12
2427,63
2428,13
2429,0
243,13
2430,29
2431,22
2432,23
2433,27
2434,33
2435,78
2436,8
2437,23
2438,58
2439,9
244,7
2440,8
2441,5
2442,15
2443,7
2444,15
2445,14
2446,12
2447,13
2448,7
2449,57
245,3
2450,18
2451,Not in Microsoft Academic
2452,11
2453,15
2454,60
2455,14
2456,76
2457,91
2458,63
2459,22
246,25
2460,28
2461,45
2462,68
2463,4
2464,13
2465,21
2466,40
2467,22
2468,35
2469,17
247,39
2470,84
2471,20
2472,23
2473,45
2474,16
2475,11
2476,41
2477,20
2478,64
2479,16
248,61
2480,5
2481,23
2482,29
2483,18
2484,23
2485,21
2486,16
2487,19
2488,33
2489,16
249,12
2490,31
2491,11
2492,31
2493,7
2494,67
2495,5
2496,150
2497,1
2498,17
2499,19
25,27
250,13
2500,18
2501,11
2502,1
2503,14
2504,50
2505,13
2506,22
2507,23
2508,12
2509,9
251,70
2510,5
2511,15
2512,27
2513,29
2514,57
2515,38
2516,58
2517,9
2518,24
2519,19
252,23
2520,154
2521,19
2522,26
2523,9
2524,52
2525,27
2526,18
2527,8
2528,6
2529,62
253,126
2530,62
2531,5
2532,4
2533,31
2534,13
2535,34
2536,26
2537,44
2538,9
2539,41
254,10
2540,74
2541,35
2542,14
2543,41
2544,9
2545,38
2546,2
2547,6
2548,28
2549,26
255,8
2550,7
2551,86
2552,11
2553,55
2554,35
2555,20
2556,1
2557,18
2558,25
2559,56
256,8
2560,8
2561,34
2562,3
2563,41
2564,19
2565,25
2566,58
2567,25
2568,0
2569,3
257,8
2570,18
2571,15
2572,42
2573,34
2574,10
2575,14
2576,8
2577,61
2578,6
2579,52
258,2
2580,8
2581,114
2582,29
2583,1
2584,24
2585,52
2586,21
2587,20
2588,7
2589,18
259,48
2590,46
2591,35
2592,52
2593,59
2594,1
2595,11
2596,10
2597,38
2598,11
2599,12
26,107
260,11
2600,4
2601,4
2602,39
2603,41
2604,38
2605,7
2606,14
2607,25
2608,16
2609,6
261,27
2610,12
2611,6
2612,16
2613,0
2614,13
2615,9
2616,41
2617,67
2618,14
2619,22
262,4
2620,0
2621,5
2622,45
2623,9
2624,0
2625,41
2626,1
2627,20
2628,13
2629,32
263,6
2630,43
2631,94
2632,1
2633,26
2634,18
2635,19
2636,28
2637,10
2638,6
2639,40
264,56
2640,34
2641,97
2642,13
2643,36
2644,37
2645,11
2646,22
2647,17
2648,7
2649,4
265,40
2650,35
2651,15
2652,26
2653,35
2654,3
2655,14
2656,55
2657,12
2658,Not in Microsoft Academic
2659,92
2660,25
2661,17
2662,25
2663,90
2664,34
2665,0
2666,89
2667,7
2668,16
2669,23
267,7
2670,29
2671,81
2672,12
2673,50
2674,9
2675,18
2676,23
2677,25
2678,19
2679,32
268,20
2680,16
2681,93
2682,19
2683,33
2684,5
2685,5
2686,42
2687,5
269,1
2690,17
2691,5
2692,18
2693,27
2694,32
2695,9
2696,9
2697,28
2698,33
2699,24
27,20
270,56
2700,85
2701,25
2702,8
2703,47
2704,46
2705,22
2706,25
2707,9
2708,10
2709,31
271,18
2710,12
2711,36
2712,14
2713,50
2714,15
2715,17
2716,8
2717,6
2718,14
2719,12
272,11
2720,28
2721,5
2722,22
2723,54
2724,17
2725,21
2726,30
2727,2
2728,11
2729,24
273,7
2730,58
2731,44
2732,33
2733,11
2734,0
2735,0
2736,23
2737,42
2738,17
2739,14
274,21
2740,21
2741,22
2742,12
2743,12
2744,40
2745,0
2746,51
2747,45
2748,76
2749,16
275,2
2750,1
2751,81
2752,1
2753,27
2754,48
2755,13
2756,14
2757,14
2758,27
2759,51
276,6
2760,14
2761,40
2762,24
2763,0
2764,20
2765,7
2766,92
2767,10
2768,19
2769,19
277,2
2770,28
2771,49
2772,18
2773,55
2774,65
2775,46
2776,19
2777,9
2778,10
2779,8
278,9
2780,48
2781,20
2782,35
2783,10
2784,50
2785,23
2786,86
2787,14
2788,38
2789,82
279,14
2790,31
2791,1
2792,107
2793,15
2794,44
2795,Not in Microsoft Academic
2796,42
2797,16
2798,15
2799,30
28,7
280,16
2800,58
2801,6
2802,23
2803,132
2804,19
2805,5
2806,18
2807,0
2808,Not in Microsoft Academic
2809,20
281,30
2810,5
2811,32
2812,15
2813,19
2814,15
2815,25
2816,44
2817,13
2818,34
2819,60
282,96
2820,25
2821,39
2822,21
2823,6
2824,22
2825,58
2826,27
2827,68
2828,10
2829,6
283,15
2830,19
2831,24
2832,0
2833,9
2834,14
2835,22
2836,38
2837,7
2838,13
2839,14
284,25
2840,49
2841,16
2842,40
2843,6
2844,0
2845,8
2846,9
2847,82
2848,63
2849,27
285,16
2850,26
2851,42
2852,55
2853,27
2854,20
2855,19
2856,11
2857,4
2858,151
2859,14
286,12
2860,17
2861,2
2862,15
2863,28
2864,30
2865,17
2866,75
2867,32
2868,2
2869,19
287,18
2870,17
2871,22
2872,1
2873,15
2874,10
2875,Not in Microsoft Academic
2876,37
2877,61
2878,52
2879,25
288,9
2880,0
2881,24
2882,16
2883,36
2884,6
2885,38
2886,44
2887,7
2888,14
2889,3
289,4
2890,6
2891,10
2892,6
2893,40
2894,42
2895,9
2896,11
2897,52
2898,135
2899,48
29,3
290,45
2900,21
2901,48
2902,36
2903,20
2904,12
2905,11
2906,19
2907,41
2908,18
2909,42
291,29
2910,6
2911,20
2912,14
2913,10
2914,0
2915,29
2916,16
2917,12
2918,6
2919,18
292,17
2920,34
2921,21
2922,5
2923,33
2924,101
2925,23
